	pref	flag	fixed_num	recall	precision	fscore
0	tk	icho	50	1.0	0.36363636363636365	0.5333333333333333
1	tk	icho	150	1.0	0.41379310344827586	0.5853658536585366
2	tk	icho	250	1.0	0.48	0.6486486486486487
3	tk	icho	500	0.25	0.17647058823529413	0.20689655172413793
4	tk	kaede	50	0.0	0.0	0.0
5	tk	kaede	150	0.0	0.0	0.0
6	tk	kaede	250	0.0	0.0	0.0
7	tk	kaede	500	0.0	0.0	0.0
8	tk	sonota	50	0.8461538461538461	0.3333333333333333	0.47826086956521735
9	tk	sonota	150	0.9230769230769231	0.4	0.5581395348837209
10	tk	sonota	250	0.6923076923076923	0.32142857142857145	0.4390243902439025
11	tk	sonota	500	0.7692307692307693	0.38461538461538464	0.5128205128205128
12	tk	koyo	50	1.0	0.41935483870967744	0.5909090909090909
13	tk	koyo	150	1.0	0.41935483870967744	0.5909090909090909
14	tk	koyo	250	1.0	0.41935483870967744	0.5909090909090909
15	tk	koyo	500	1.0	0.4642857142857143	0.6341463414634146
16	hk	icho	50	0.0	0.0	0.0
17	hk	icho	150	0.09090909090909091	0.047619047619047616	0.0625
18	hk	icho	250	0.0	0.0	0.0
19	hk	icho	500	0.0	0.0	0.0
20	hk	kaede	50	0.0	0.0	0.0
21	hk	kaede	150	0.0	0.0	0.0
22	hk	kaede	250	0.0	0.0	0.0
23	hk	kaede	500	0.0	0.0	0.0
24	hk	sonota	50	0.0625	0.10526315789473684	0.0784313725490196
25	hk	sonota	150	0.0	0.0	0.0
26	hk	sonota	250	0.0	0.0	0.0
27	hk	sonota	500	0.0	0.0	0.0
28	hk	koyo	50	0.0	0.0	0.0
29	hk	koyo	150	0.09375	0.15	0.11538461538461538
30	hk	koyo	250	0.0	0.0	0.0
31	hk	koyo	500	0.0	0.0	0.0
32	is	icho	50	0.0	0.0	0.0
33	is	icho	150	0.0	0.0	0.0
34	is	icho	250	0.0	0.0	0.0
35	is	icho	500	0.0	0.0	0.0
36	is	kaede	50	0.0	0.0	0.0
37	is	kaede	150	0.0	0.0	0.0
38	is	kaede	250	0.0	0.0	0.0
39	is	kaede	500	0.0	0.0	0.0
40	is	sonota	50	0.15789473684210525	1.0	0.2727272727272727
41	is	sonota	150	0.10526315789473684	0.5	0.17391304347826086
42	is	sonota	250	0.0	0.0	0.0
43	is	sonota	500	0.0	0.0	0.0
44	is	koyo	50	0.0	0.0	0.0
45	is	koyo	150	0.05263157894736842	0.1	0.06896551724137931
46	is	koyo	250	0.0	0.0	0.0
47	is	koyo	500	0.0	0.0	0.0
